Accepted Symbol,Scientific Name,Common Name,Active Growth Period,Growth Rate,"Height at Base Age, Maximum (feet)","Height, Mature (feet)",Lifespan,Nitrogen Fixation,Shape and Orientation,Anaerobic Tolerance,Drought Tolerance,Moisture Use,pH (Minimum),pH (Maximum),"Planting Density per Acre, Minimum","Planting Density per Acre, Maximum",Precipitation (Minimum),Precipitation (Maximum),"Root Depth, Minimum (inches)",Salinity Tolerance,Shade Tolerance,"Temperature, Minimum (°F)",Bloom Period,Fruit/Seed Period Begin,Fruit/Seed Period End,Berry/Nut/Seed Product,Palatable Human,Protein Potential
ACRO5,Acacia robusta,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACRO,Acacia roemeriana,roundflower catclaw,,,,,,,,,,,,,,,,,,,,,,,,,,
ACRO6,Acacia rossei,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACRU11,Acacia rubida,red-leaf wattle,,,,,,,,,,,,,,,,,,,,,,,,,,
ACRU12,Acacia rupicola,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSA9,Acacia saliciformis,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSA10,Acacia salicina,cooba,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSA,Acacia saligna,orange wattle,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSC2,Acacia schaffneri,Schaffner's wattle,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSCB,Acacia schaffneri var. bravoensis,Schaffner's wattle,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSCS2,Acacia schaffneri var. schaffneri,Schaffner's wattle,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSC,Acacia schottii,Schott's wattle,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSC9,Acacia schweinfurthii,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSC10,Acacia sclerosperma,acacia,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSC12,Acacia scleroxyla,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSE6,Acacia senegal,gum arabic,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSER2,Acacia senegal var. rostrata,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSE7,Acacia seyal,talh,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSI7,Acacia sieberiana,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSIW2,Acacia sieberiana var. woodii,paperbark-thorn,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSI5,Acacia silvestris,red wattle,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSO4,Acacia sophorae,acacia,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSP9,Acacia spectabilis,glory wattle,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSP4,Acacia sphaerocephala,bee wattle,,,,,,,,,,,,,,,,,,,,,,,,,,
ACST5,Acacia stenophylla,Dalby myall,,,,,,,,,,,,,,,,,,,,,,,,,,
ACST8,Acacia stowardii,bastard mulga,,,,,,,,,,,,,,,,,,,,,,,,,,
ACST6,Acacia stricta,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSU9,Acacia suaveolens,sweet acacia,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSU11,Acacia sublanata,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSU10,Acacia subulata,awl-leaf wattle,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSW2,Acacia swazica,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTE9,Acacia terminalis,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTE8,Acacia tetragonophylla,dead finish,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTO6,Acacia tortilis,umbrella thorn,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTOH2,Acacia tortilis ssp. heteracantha,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTOS2,Acacia tortilis ssp. spirocarpa,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTO,Acacia tortuosa,poponax,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTR6,Acacia trineura,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACUL2,Acacia ulicifolia,juniper wattle,,,,,,,,,,,,,,,,,,,,,,,,,,
ACUN2,Acacia uncinata,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACUN3,Acacia undulifolia,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACUR2,Acacia urophylla,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACVE5,Acacia verniciflua,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACVE2,Acacia verticillata,prickly Moses,,,,,,,,,,,,,,,,,,,,,,,,,,
ACVI7,Acacia victoriae,bramble acacia,,,,,,,,,,,,,,,,,,,,,,,,,,
ACVI9,Acacia viscidula,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACVI10,Acacia visco,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACVO,Acacia vogeliana,macata bourse bastard,,,,,,,,,,,,,,,,,,,,,,,,,,
ACWA3,Acacia wattsiana,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACWI2,Acacia willardiana,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACXA3,Acacia xanthophloea,fevertree,,,,,,,,,,,,,,,,,,,,,,,,,,
ACAEN,Acaena,acaena,,,,,,,,,,,,,,,,,,,,,,,,,,
ACEX,Acaena exigua,liliwai,,,,,,,,,,,,,,,,,,,,,,,,,,
ACMY3,Acaena myriophylla,cadillo,,,,,,,,,,,,,,,,,,,,,,,,,,
ACNO7,Acaena novae-zelandiae,biddy-biddy,,,,,,,,,,,,,,,,,,,,,,,,,,
ACPA14,Acaena pallida,pale biddy-biddy,,,,,,,,,,,,,,,,,,,,,,,,,,
ACPI3,Acaena pinnatifida,Argentinian biddy-biddy,,,,,,,,,,,,,,,,,,,,,,,,,,
ACPIC2,Acaena pinnatifida var. californica,California biddy-biddy,,,,,,,,,,,,,,,,,,,,,,,,,,
ACALY,Acalypha,copperleaf,,,,,,,,,,,,,,,,,,,,,,,,,,
ACAL2,Acalypha alopecuroidea,foxtail copperleaf,,,,,,,,,,,,,,,,,,,,,,,,,,
ACAM2,Acalypha amentacea,catch me if you can,,,,,,,,,,,,,,,,,,,,,,,,,,
ACAMW,Acalypha amentacea ssp. wilkesiana,Wilkes' acalypha,,,,,,,,,,,,,,,,,,,,,,,,,,
ACAR16,Acalypha arvensis,field copperleaf,,,,,,,,,,,,,,,,,,,,,,,,,,
ACAU6,Acalypha australis,Asian copperleaf,,,,,,,,,,,,,,,,,,,,,,,,,,
ACBE2,Acalypha berteriana,Guayama Copperleaf,,,,,,,,,,,,,,,,,,,,,,,,,,
ACBI3,Acalypha bisetosa,streambank copperleaf,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCA3,Acalypha californica,California copperleaf,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCH2,Acalypha chamaedryfolia,bastard copperleaf,,,,,,,,,,,,,,,,,,,,,,,,,,
ACDE4,Acalypha deamii,Deam's threeseed mercury,,,,,,,,,,,,,,,,,,,,,,,,,,
ACGR2,Acalypha gracilens,slender threeseed mercury,,,,,,,,,,,,,,,,,,,,,,,,,,
ACHI2,Acalypha hispida,red-hot cat's tail,,,,,,,,,,,,,,,,,,,,,,,,,,
ACIN12,Acalypha indica,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACME7,Acalypha mexicana,Mexican copperleaf,,,,,,,,,,,,,,,,,,,,,,,,,,
ACMO4,Acalypha monococca,slender threeseed mercury,,,,,,,,,,,,,,,,,,,,,,,,,,
ACMO,Acalypha monostachya,round copperleaf,,,,,,,,,,,,,,,,,,,,,,,,,,
ACNE,Acalypha neomexicana,New Mexico copperleaf,,,,,,,,,,,,,,,,,,,,,,,,,,
ACOS,Acalypha ostryifolia,pineland threeseed mercury,,,,,,,,,,,,,,,,,,,,,,,,,,
ACPH3,Acalypha phleoides,shrubby copperleaf,,,,,,,,,,,,,,,,,,,,,,,,,,
ACPO,Acalypha poiretii,Poiret's copperleaf,,,,,,,,,,,,,,,,,,,,,,,,,,
ACPO4,Acalypha portoricensis,Puerto Rico copperleaf,,,,,,,,,,,,,,,,,,,,,,,,,,
ACRA,Acalypha radians,cardinal's feather,,,,,,,,,,,,,,,,,,,,,,,,,,
ACRH,Acalypha rhomboidea,common threeseed mercury,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSE,Acalypha setosa,Cuban copperleaf,,,,,,,,,,,,,,,,,,,,,,,,,,
ACVI,Acalypha virginica,Virginia threeseed mercury,"Spring, Summer, Fall",Rapid,,3,,None,Erect,None,Medium,Medium,5.9,7,1100,4800,13,60,6,None,Intermediate,33,Early Summer,Summer,Fall,No,No,Low
ACAMP,Acamptopappus,goldenhead,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSH,Acamptopappus shockleyi,Shockley's goldenhead,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSP,Acamptopappus sphaerocephalus,rayless goldenhead,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSPH,Acamptopappus sphaerocephalus var. hirtellus,rayless goldenhead,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSPS2,Acamptopappus sphaerocephalus var. sphaerocephalus,rayless goldenhead,,,,,,,,,,,,,,,,,,,,,,,,,,
ACANT6,Acanthocereus,triangle cactus,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTE4,Acanthocereus tetragonus,triangle cactus,,,,,,,,,,,,,,,,,,,,,,,,,,
ACANT2,Acanthomintha,thorn-mint,,,,,,,,,,,,,,,,,,,,,,,,,,
ACDU2,Acanthomintha duttonii,San Mateo thorn-mint,,,,,,,,,,,,,,,,,,,,,,,,,,
ACIL,Acanthomintha ilicifolia,San Diego thorn-mint,,,,,,,,,,,,,,,,,,,,,,,,,,
ACLA2,Acanthomintha lanceolata,Santa Clara thorn-mint,,,,,,,,,,,,,,,,,,,,,,,,,,
ACOB,Acanthomintha obovata,San Benito thorn-mint,,,,,,,,,,,,,,,,,,,,,,,,,,
ACOBC,Acanthomintha obovata ssp. cordata,heartleaf thorn-mint,,,,,,,,,,,,,,,,,,,,,,,,,,
ACOBO,Acanthomintha obovata ssp. obovata,San Benito thorn-mint,,,,,,,,,,,,,,,,,,,,,,,,,,
ACANT3,Acanthospermum,starbur,,,,,,,,,,,,,,,,,,,,,,,,,,
ACAU2,Acanthospermum australe,Paraguayan starbur,,,,,,,,,,,,,,,,,,,,,,,,,,
ACHI,Acanthospermum hispidum,hispid starbur,,,,,,,,,,,,,,,,,,,,,,,,,,
ACHU,Acanthospermum humile,low starbur,,,,,,,,,,,,,,,,,,,,,,,,,,
ACANT7,Acanthus,acanthus,,,,,,,,,,,,,,,,,,,,,,,,,,
ACEB3,Acanthus ebracteatus,acanthus,,,,,,,,,,,,,,,,,,,,,,,,,,
ACMO8,Acanthus mollis,bear's breech,,,,,,,,,,,,,,,,,,,,,,,,,,
ACPO10,Acanthus polystachyus,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACPOP,Acanthus polystachyus var. pseudopubescens,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSP7,Acanthus spinosus,spine acanthus,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSY,Acanthus syriacus,Syrian acanthus,,,,,,,,,,,,,,,,,,,,,,,,,,
ACARO2,Acarospora,cracked lichen,,,,,,,,,,,,,,,,,,,,,,,,,,
ACAE,Acarospora aeruginosa,cracked lichen,,,,,,,,,,,,,,,,,,,,,,,,,,
ACAL13,Acarospora albomarginata,cracked lichen,,,,,,,,,,,,,,,,,,,,,,,,,,
ACAM5,Acarospora americana,American cracked lichen,,,,,,,,,,,,,,,,,,,,,,,,,,
ACAM7,Acarospora amphibola,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACAP,Acarospora applanata,cracked lichen,,,,,,,,,,,,,,,,,,,,,,,,,,
ACAR8,Acarospora arenacea,cracked lichen,,,,,,,,,,,,,,,,,,,,,,,,,,
ACAR9,Acarospora arenosa,cracked lichen,,,,,,,,,,,,,,,,,,,,,,,,,,
ACAS3,Acarospora asahinae,Asahina's cracked lichen,,,,,,,,,,,,,,,,,,,,,,,,,,
ACAS4,Acarospora asperata,cracked lichen,,,,,,,,,,,,,,,,,,,,,,,,,,
ACBA4,Acarospora badiofusca,cracked lichen,,,,,,,,,,,,,,,,,,,,,,,,,,
ACBU2,Acarospora bullata,cracked lichen,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCA14,Acarospora caesiofusca,cracked lichen,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCA15,Acarospora californica,California cracked lichen,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCA16,Acarospora canadensis,Canada cracked lichen,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCA17,Acarospora carnegiei,Carnegie's cracked lichen,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCE,Acarospora cervina,cracked lichen,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCI2,Acarospora cinereoalba,cracked lichen,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCI4,Acarospora citrina,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCL6,Acarospora clauzadeana,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCO10,Acarospora coloradiana,Colorado cracked lichen,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCO11,Acarospora complanata,cracked lichen,,,,,,,,,,,,,,,,,,,,,,,,,,
ACDE9,Acarospora desolata,cracked lichen,,,,,,,,,,,,,,,,,,,,,,,,,,
ACDI4,Acarospora dispersa,cracked lichen,,,,,,,,,,,,,,,,,,,,,,,,,,
ACEL2,Acarospora elevata,cracked lichen,,,,,,,,,,,,,,,,,,,,,,,,,,
ACFU2,Acarospora fuscata,cracked lichen,,,,,,,,,,,,,,,,,,,,,,,,,,
ACFU3,Acarospora fuscescens,cracked lichen,,,,,,,,,,,,,,,,,,,,,,,,,,
ACGA2,Acarospora gallica,Gallic cracked lichen,,,,,,,,,,,,,,,,,,,,,,,,,,
ACGE4,Acarospora geogena,cracked lichen,,,,,,,,,,,,,,,,,,,,,,,,,,
ACGL2,Acarospora glaucocarpa,cracked lichen,,,,,,,,,,,,,,,,,,,,,,,,,,
ACHA3,Acarospora hassei,Hasse's cracked lichen,,,,,,,,,,,,,,,,,,,,,,,,,,
ACHE6,Acarospora heppii,Hepp's cracked lichen,,,,,,,,,,,,,,,,,,,,,,,,,,
ACHE7,Acarospora heufleriana,Heufler's cracked lichen,,,,,,,,,,,,,,,,,,,,,,,,,,
ACHI6,Acarospora hilaris,cracked lichen,,,,,,,,,,,,,,,,,,,,,,,,,,
ACIM2,Acarospora immersa,water cracked lichen,,,,,,,,,,,,,,,,,,,,,,,,,,
ACIM3,Acarospora impressula,cracked lichen,,,,,,,,,,,,,,,,,,,,,,,,,,
ACIN5,Acarospora instrata,cracked lichen,,,,,,,,,,,,,,,,,,,,,,,,,,
ACIN6,Acarospora interjecta,cracked lichen,,,,,,,,,,,,,,,,,,,,,,,,,,
ACIN7,Acarospora interposita,cracked lichen,,,,,,,,,,,,,,,,,,,,,,,,,,
ACIN8,Acarospora interspersa,cracked lichen,,,,,,,,,,,,,,,,,,,,,,,,,,
ACMA10,Acarospora macrospora,big spore cracked lichen,,,,,,,,,,,,,,,,,,,,,,,,,,
ACMO6,Acarospora molybdina,molybdenum cracked lichen,,,,,,,,,,,,,,,,,,,,,,,,,,
ACNE7,Acarospora nevadensis,Nevada cracked lichen,,,,,,,,,,,,,,,,,,,,,,,,,,
ACNI6,Acarospora nigromarginata,darkmargin cracked lichen,,,,,,,,,,,,,,,,,,,,,,,,,,
ACNI7,Acarospora nitida,cracked lichen,,,,,,,,,,,,,,,,,,,,,,,,,,
ACNO6,Acarospora nodulosa,nodule cracked lichen,,,,,,,,,,,,,,,,,,,,,,,,,,
ACNON,Acarospora nodulosa var. nodulosa,nodule cracked lichen,,,,,,,,,,,,,,,,,,,,,,,,,,
ACOB4,Acarospora obnubila,cracked lichen,,,,,,,,,,,,,,,,,,,,,,,,,,
ACOB5,Acarospora obpallens,cracked lichen,,,,,,,,,,,,,,,,,,,,,,,,,,
ACOL,Acarospora oligospora,cracked lichen,,,,,,,,,,,,,,,,,,,,,,,,,,
ACPA7,Acarospora particularis,particular cracked lichen,,,,,,,,,,,,,,,,,,,,,,,,,,
ACPE6,Acarospora peliscypha,cracked lichen,,,,,,,,,,,,,,,,,,,,,,,,,,
ACPE7,Acarospora peltastica,cracked lichen,,,,,,,,,,,,,,,,,,,,,,,,,,
ACPY2,Acarospora pyrenopsoides,cracked lichen,,,,,,,,,,,,,,,,,,,,,,,,,,
ACRA4,Acarospora radicata,cracked lichen,,,,,,,,,,,,,,,,,,,,,,,,,,
ACRE7,Acarospora reagens,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACRU5,Acarospora rugulosa,cracked lichen,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSA6,Acarospora saepincola,cracked lichen,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSC4,Acarospora scabrida,cracked lichen,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSC5,Acarospora schleicheri,Schleicher's cracked lichen,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSC6,Acarospora scotica,cracked lichen,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSI4,Acarospora sinopica,cracked lichen,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSM2,Acarospora smaragdula,cracked lichen,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSO2,Acarospora socialis,cracked lichen,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSP6,Acarospora sparsa,cracked lichen,,,,,,,,,,,,,,,,,,,,,,,,,,
ACST2,Acarospora stapfiana,cracked lichen,,,,,,,,,,,,,,,,,,,,,,,,,,
ACST3,Acarospora strigata,cracked lichen,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSU5,Acarospora succedens,cracked lichen,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSU6,Acarospora superfusa,cracked lichen,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTE5,Acarospora tenebrica,cracked lichen,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTE6,Acarospora terricola,cracked lichen,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTH4,Acarospora thamnina,cracked lichen,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTH5,Acarospora thelococcoides,cracked lichen,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTH6,Acarospora thermophila,heatloving cracked lichen,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTO4,Acarospora tongleti,Tonglet's cracked lichen,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTU2,Acarospora tucsonensis,Tucson cracked lichen,,,,,,,,,,,,,,,,,,,,,,,,,,
ACUT,Acarospora utahensis,Utah cracked lichen,,,,,,,,,,,,,,,,,,,,,,,,,,
ACVE4,Acarospora veronensis,cracked lichen,,,,,,,,,,,,,,,,,,,,,,,,,,
ACWA2,Acarospora washingtonensis,Washington cracked lichen,,,,,,,,,,,,,,,,,,,,,,,,,,
ACAUL,Acaulon,acaulon moss,,,,,,,,,,,,,,,,,,,,,,,,,,
ACMU5,Acaulon muticum,acaulon moss,,,,,,,,,,,,,,,,,,,,,,,,,,
ACMUM,Acaulon muticum var. muticum,acaulon moss,,,,,,,,,,,,,,,,,,,,,,,,,,
ACMUR,Acaulon muticum var. rufescens,acaulon moss,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSC8,Acaulon schimperianum,Schimper's acaulon moss,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTR4,Acaulon triquetrum,acaulon moss,,,,,,,,,,,,,,,,,,,,,,,,,,
ACER,Acer,maple,,,,,,,,,,,,,,,,,,,,,,,,,,
ACBU4,Acer buergerianum,trident maple,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCA5,Acer campestre,hedge maple,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCI,Acer circinatum,vine maple,Spring and Summer,Moderate,15,20,Long,None,Erect,None,Low,Medium,5.5,7.5,700,1100,24,80,24,None,Tolerant,-13,Spring,Summer,Fall,No,No,
ACCI5,Acer cissifolium,ivyleaf maple,,,,,,,,,,,,,,,,,,,,,,,,,,
ACDI12,Acer diabolicum,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACFL,Acer floridanum,southern sugar maple,,,,,,,,,,,,,,,,,,,,,,,,,,
ACFR,Acer ×freemanii,Freeman maple,,,,,,,,,,,,,,,,,,,,,,,,,,
ACGI,Acer ginnala,Amur maple,Spring and Summer,Rapid,15,20,Moderate,None,Rounded,None,Low,Medium,6.1,7.5,170,700,30,60,24,Medium,Intermediate,-38,Mid Spring,Summer,Fall,No,No,
ACGL,Acer glabrum,Rocky Mountain maple,Spring and Summer,Rapid,15,30,Moderate,None,Erect,Low,Medium,Low,5.8,7.5,300,1200,9,60,24,None,Intermediate,-43,Late Spring,Summer,Fall,No,No,
ACGLD3,Acer glabrum var. diffusum,Rocky Mountain maple,,,,,,,,,,,,,,,,,,,,,,,,,,
ACGLD4,Acer glabrum var. douglasii,Douglas maple,Spring and Summer,Moderate,20,30,Moderate,None,Erect,None,Low,Medium,5.5,7.5,700,2700,16,50,24,None,Tolerant,-13,Late Spring,Summer,Fall,No,No,Low
ACGLG2,Acer glabrum var. glabrum,Rocky Mountain maple,,,,,,,,,,,,,,,,,,,,,,,,,,
ACGLG,Acer glabrum var. greenei,Greene's maple,,,,,,,,,,,,,,,,,,,,,,,,,,
ACGLN2,Acer glabrum var. neomexicanum,New Mexico maple,,,,,,,,,,,,,,,,,,,,,,,,,,
ACGLT2,Acer glabrum var. torreyi,Torrey maple,,,,,,,,,,,,,,,,,,,,,,,,,,
ACGR3,Acer grandidentatum,bigtooth maple,Spring and Summer,Moderate,20,38,Short,None,Erect,Low,Low,Medium,6,8,700,1100,16,30,24,None,Intermediate,-31,Spring,Summer,Summer,No,No,
ACGRG,Acer grandidentatum var. grandidentatum,bigtooth maple,,,,,,,,,,,,,,,,,,,,,,,,,,
ACGRS,Acer grandidentatum var. sinuosum,canyon maple,,,,,,,,,,,,,,,,,,,,,,,,,,
ACGR14,Acer griseum,paperbark maple,,,,,,,,,,,,,,,,,,,,,,,,,,
ACJA2,Acer japonicum,Amur maple,,,,,,,,,,,,,,,,,,,,,,,,,,
ACLE,Acer leucoderme,chalk maple,,,,,,,,,,,,,,,,,,,,,,,,,,
ACLE2,Acer leucoderme × saccharum,hybrid sugar maple,,,,,,,,,,,,,,,,,,,,,,,,,,
ACMA3,Acer macrophyllum,bigleaf maple,Spring and Summer,Rapid,30,60,Moderate,None,Erect,Medium,Low,Medium,4.8,7.2,300,700,22,260,24,None,Intermediate,-14,Mid Spring,Summer,Fall,No,Yes,
ACNE2,Acer negundo,boxelder,Spring and Summer,Rapid,35,60,Short,None,Erect,Medium,High,Medium,5,7.8,300,1200,15,75,40,Medium,Tolerant,-46,Early Spring,Summer,Fall,No,Yes,Low
ACNEA,Acer negundo var. arizonicum,Arizona boxelder,,,,,,,,,,,,,,,,,,,,,,,,,,
ACNEC2,Acer negundo var. californicum,California boxelder,,,,,,,,,,,,,,,,,,,,,,,,,,
ACNEI2,Acer negundo var. interius,boxelder,,,,,,,,,,,,,,,,,,,,,,,,,,
ACNEN,Acer negundo var. negundo,boxelder,,,,,,,,,,,,,,,,,,,,,,,,,,
ACNET,Acer negundo var. texanum,boxelder,,,,,,,,,,,,,,,,,,,,,,,,,,
ACNEV,Acer negundo var. violaceum,boxelder,,,,,,,,,,,,,,,,,,,,,,,,,,
ACNI5,Acer nigrum,black maple,Spring and Summer,Moderate,28,100,Moderate,None,Erect,Low,Medium,Medium,4.5,7.3,300,700,24,60,30,None,Tolerant,-47,Late Spring,Summer,Fall,No,Yes,
ACOP3,Acer opalus,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACOPO,Acer opalus ssp. obtusatum,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACPA2,Acer palmatum,Japanese maple,,,,,,,,,,,,,,,,,,,,,,,,,,
ACPE,Acer pensylvanicum,striped maple,Spring and Summer,Slow,25,35,Short,None,Erect,None,Low,Low,4.4,6.5,700,1100,24,76,28,None,Tolerant,-47,Late Spring,Summer,Fall,No,No,
ACPL,Acer platanoides,Norway maple,Spring and Summer,Rapid,25,50,Moderate,None,Rounded,None,Low,Medium,4.8,7.2,170,700,32,50,40,Medium,Intermediate,-28,Early Spring,Summer,Fall,No,No,
ACPS,Acer pseudoplatanus,sycamore maple,Spring and Summer,Moderate,60,70,Moderate,None,Erect,None,Medium,Medium,5.8,7,300,700,32,60,48,Medium,Intolerant,-23,Late Spring,Spring,Summer,No,No,Low
ACRU,Acer rubrum,red maple,Spring and Summer,Rapid,35,68,Short,None,Rounded,Medium,Medium,High,4.7,7.3,170,1200,25,80,30,None,Intermediate,-47,Early Spring,Spring,Spring,No,Yes,Low
ACRUD,Acer rubrum var. drummondii,Drummond's maple,,,,,,,,,,,,,,,,,,,,,,,,,,
ACRUR,Acer rubrum var. rubrum,red maple,,,,,,,,,,,,,,,,,,,,,,,,,,
ACRUT,Acer rubrum var. trilobum,red maple,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSA2,Acer saccharinum,silver maple,Spring and Summer,Rapid,45,90,Moderate,None,Rounded,High,Low,Medium,4,7.3,170,700,20,70,32,Low,Intermediate,-47,Early Spring,Summer,Fall,No,Yes,Low
ACSA3,Acer saccharum,sugar maple,Spring and Summer,Slow,20,100,Long,None,Erect,None,Medium,Medium,3.7,7.9,300,700,22,80,40,None,Tolerant,-47,Mid Spring,Summer,Fall,No,Yes,
ACSAS,Acer saccharum var. saccharum,sugar maple,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSAS2,Acer saccharum var. schneckii,sugar maple,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSP2,Acer spicatum,mountain maple,Spring and Summer,Moderate,25,25,Moderate,None,Erect,Low,Low,Medium,4.8,7,700,1100,30,70,32,None,Tolerant,-47,Spring,Summer,Fall,No,No,Low
ACTA80,Acer tataricum,tatarian maple,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTAT2,Acer tataricum var. torminaloides,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACHIL,Achillea,yarrow,,,,,,,,,,,,,,,,,,,,,,,,,,
ACAE2,Achillea aegyptiaca,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACAG,Achillea ageratifolia,yarrow,,,,,,,,,,,,,,,,,,,,,,,,,,
ACAG3,Achillea ageratum,sweet-Nancy,,,,,,,,,,,,,,,,,,,,,,,,,,
ACAL17,Achillea alpina,Chinese yarrow,,,,,,,,,,,,,,,,,,,,,,,,,,
ACBI6,Achillea biserrata,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCA29,Achillea cartilaginea,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCH6,Achillea chrysocoma,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCL3,Achillea clavennae,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCL4,Achillea clusiana,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCL5,Achillea clypeolata,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCO19,Achillea collina,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCO20,Achillea conferta,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCR3,Achillea crithmifolia,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACDI6,Achillea distans,Alps yarrow,,,,,,,,,,,,,,,,,,,,,,,,,,
ACDIT,Achillea distans ssp. tanacetifolia,,,,,,,,,,,,,,,,,,,,,,,,,,,
